"Click Date","Install Date","Device Id","Device Name",MAC,IDFV,IDFV_OLD,IDFV_NEW,IDFA,IDFA_OLD,IDFA_NEW,GDID,"Sub Publisher",Country,IP,"Glispa Click ID"
"2016-11-04 12:00:11","2016-11-04 12:03:31",BAF7E23E-B06A-46FC-BBFF-A58051FD909B,"iPhone5,1",02:00:00:00:00:00,18AF7E49-4F39-432B-8839-7EB8FE83CED9,ADA924B2-B476-47C3-880B-2BEAB966400B,18AF7E49-4F39-432B-8839-7EB8FE83CED9,BAF7E23E-B06A-46FC-BBFF-A58051FD909B,BAF7E23E-B06A-46FC-BBFF-A58051FD909B,BAF7E23E-B06A-46FC-BBFF-A58051FD909B,4765744240,CD31341,RU,178.17.128.144,CD31341p59774___2119552___2185832___2029336321002419___A01033-59774___4603
"2016-11-04 12:17:02","2016-11-04 12:20:39",EAA23A19-4201-49A5-83B5-415BDFD6577B,"iPhone5,2",02:00:00:00:00:00,34CCCF45-8814-4D5A-AC9A-FC8F80F7F384,B04FB769-C22A-493F-A4D5-6EBD61F548A7,34CCCF45-8814-4D5A-AC9A-FC8F80F7F384,EAA23A19-4201-49A5-83B5-415BDFD6577B,73EAD8BC-9437-4456-9F62-FC02190D64E5,EAA23A19-4201-49A5-83B5-415BDFD6577B,5923508109,CD31341,RU,109.252.45.226,CD31341p59774___2119552___2185832___3815468560766838___A01033-59774___4603
"2016-11-04 12:30:06","2016-11-04 12:32:35",BD5F508A-C424-4D5D-96B8-667704B60B66,"iPhone6,2",02:00:00:00:00:00,32CA1B3F-0F4A-4965-9BDA-F894DFF28B4D,,,BD5F508A-C424-4D5D-96B8-667704B60B66,,,5923524446,CD31341,RU,31.200.230.48,CD31341p59774___2119552___2185832___1095518397921559___A01033-59774___4603
"2016-11-04 00:30:19","2016-11-04 13:57:03",00000000-0000-0000-0000-000000000000,"iPhone6,2",02:00:00:00:00:00,2FF9C6C8-C9A8-4851-A164-D66C677A0FB1,,,00000000-0000-0000-0000-000000000000,,,5923646055,CD31341,RU,217.118.64.59,CD31341p59774___2119552___2185832___0843372494082292___A01033-59774___4603
"2016-11-04 14:01:30","2016-11-04 14:06:08",28D90228-C53B-4B8B-B77D-4FF210FA0E00,"iPhone6,1",02:00:00:00:00:00,48B3FDA6-124C-45EA-B611-FF2A3C77E0A5,,,28D90228-C53B-4B8B-B77D-4FF210FA0E00,,,5695007145,CD31341,RU,89.222.241.79,CD31341p59774___2119552___2185832___1347992874306793___A01033-59774___4603
"2016-11-04 14:09:01","2016-11-04 14:13:28",2C880EF9-74A4-49FE-9A1B-4A155D85FFA4,"iPad2,5",02:00:00:00:00:00,46A6947C-2F4E-4C8E-9A0D-AB8C95D00EB0,07DA4062-4C89-4A0A-B10E-456A18C2007B,46A6947C-2F4E-4C8E-9A0D-AB8C95D00EB0,2C880EF9-74A4-49FE-9A1B-4A155D85FFA4,F7569D70-4B46-4C5B-881C-BCF34C22209C,2C880EF9-74A4-49FE-9A1B-4A155D85FFA4,5923670422,CD31341,RU,95.104.239.55,CD31341p59774___2119552___2185832___0264719939188672___A01033-59774___4603
"2016-11-04 14:16:31","2016-11-04 14:18:46",FA6856E9-4515-49D1-8509-962A807605DA,"iPad2,5",02:00:00:00:00:00,FDFBCEC0-0852-4D85-B863-38C05AEC3EDF,46A6947C-2F4E-4C8E-9A0D-AB8C95D00EB0,FDFBCEC0-0852-4D85-B863-38C05AEC3EDF,FA6856E9-4515-49D1-8509-962A807605DA,2C880EF9-74A4-49FE-9A1B-4A155D85FFA4,FA6856E9-4515-49D1-8509-962A807605DA,5923678100,CD31341,RU,95.104.234.192,CD31341p59774___2119552___2185832___9517698440770110___A01033-59774___4603
"2016-11-04 14:21:10","2016-11-04 14:23:34",BD07713B-E2E3-4A7C-8A9E-A9D2EF3BA5E1,"iPad2,5",02:00:00:00:00:00,D0F3A633-ECD5-43D8-AD63-FC3AA39B6721,FDFBCEC0-0852-4D85-B863-38C05AEC3EDF,D0F3A633-ECD5-43D8-AD63-FC3AA39B6721,BD07713B-E2E3-4A7C-8A9E-A9D2EF3BA5E1,FA6856E9-4515-49D1-8509-962A807605DA,BD07713B-E2E3-4A7C-8A9E-A9D2EF3BA5E1,5923685214,CD31341,RU,95.104.232.86,CD31341p59774___2119552___2185832___4777354710875232___A01033-59774___4603
"2016-11-05 13:24:01","2016-11-04 14:30:13",EBA7F0D2-ED77-46FD-9AED-D5AEE46EF8BC,"iPhone4,1",02:00:00:00:00:00,655D4A3B-9C73-45D4-8B0C-05C6903ACA7B,,,EBA7F0D2-ED77-46FD-9AED-D5AEE46EF8BC,,,5925364581,CD31341,RU,94.180.10.134,CD31341p59774___2119552___2185832___3357278883797250___A01033-59774___5077
"2016-11-04 11:02:34","2016-11-04 14:32:42",063D8BAB-9F74-4703-8755-3B04C3EAC938,"iPad4,2",02:00:00:00:00:00,DFA993EC-D47E-4A19-BEF7-88A7ACD2AF17,E255E8BD-D983-4DE8-84A3-5B2298E19B51,DFA993EC-D47E-4A19-BEF7-88A7ACD2AF17,063D8BAB-9F74-4703-8755-3B04C3EAC938,063D8BAB-9F74-4703-8755-3B04C3EAC938,063D8BAB-9F74-4703-8755-3B04C3EAC938,4984919036,CD31341,RU,178.35.187.114,CD31341p59774___2119552___2185832___7336543191869112___A01033-59774___5077
