GAID,Timestamp,"Sub Publisher","Sub Publisher 2","Sub Publisher 3","Sub Publisher 4","Sub Publisher 5"
ec4d0cfe-c434-4606-a5d2-7c7a6f03e4b8,"2016-08-04 04:02:06",635118688,,UAC_Search,,
1cf6f82e-76cb-469f-b29b-124ca0d607b0,"2016-08-04 04:03:11",635118688,,UAC_Youtube,,
ffc78a8c-381b-4490-b5aa-8dd9e88fec30,"2016-08-04 04:04:08",635118688,,UAC_Youtube,,
c25f2a05-adb1-47d1-8cb2-c7777cb400d8,"2016-08-04 04:06:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
f6748819-6ce9-4cfe-b674-20e344ac1fd8,"2016-08-04 04:06:08",635118688,,UAC_Search,,
2a970719-74bc-4908-9c98-ee98aa2d98ce,"2016-08-04 04:13:07","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
9d0086ce-db46-48ba-80a4-377fe3033009,"2016-08-04 04:16:09","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
b389b957-6f85-4a40-967d-eec83e2c1519,"2016-08-04 04:16:09",635118688,,UAC_Youtube,,
7b49816c-3f69-41d1-bf46-09be3f1909af,"2016-08-04 04:26:08",635118688,,UAC_Search,,
3c1e0794-288c-4347-ac28-ca493de4f0d9,"2016-08-04 04:31:04",{campaignid},,UAC_Youtube,,
200cbf1c-5ad5-4689-a31f-9ef762734f7d,"2016-08-04 04:31:04",635118688,,UAC_Youtube,,
18adb7d3-6e42-4d61-b05b-d882c0da979e,"2016-08-04 04:32:05",635118688,,UAC_Search,,
965d0d9f-5d6e-4848-8602-39ce8d66ac34,"2016-08-04 04:33:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
a544bc80-abfe-430c-be91-952433ff74bc,"2016-08-04 04:34:07",635118688,,UAC_Youtube,,
1fc3d564-4da8-48c8-b539-2b2af55fdf57,"2016-08-04 04:37:08",{campaignid},,UAC_Youtube,,
ed312ec3-004b-4926-b341-269763b8f3cd,"2016-08-04 04:37:11",635118688,,UAC_Youtube,,
9adfe313-65d9-4cca-a090-6b12f99a9b2e,"2016-08-04 04:39:04",635118688,,UAC_Search,,
a6000a19-51c0-4265-a878-6739f4e088c1,"2016-08-04 04:41:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
71c460a0-348c-45a1-b120-63313a94b4dd,"2016-08-04 04:42:04",635118688,,UAC_Search,,
8d9d10e6-7b3e-460f-994e-85f4c9da5f6f,"2016-08-04 04:42:09",635118688,,UAC_Search,,
1b6a2615-667e-4f33-9768-4596042facab,"2016-08-04 04:43:09",635118688,,UAC_Youtube,,
dab29c37-2a9a-43e3-afea-988682d99651,"2016-08-04 04:45:06",635118688,,UAC_Search,,
250ba676-3403-49f6-90e0-bc9a1dc7cc5e,"2016-08-04 04:52:03",635118688,,UAC_Search,,
34f931de-d9f0-45d9-a66d-4336879c9a72,"2016-08-04 04:58:07",635118688,,UAC_Youtube,,
f0803e6b-f36b-45a4-ae4b-7d75e8a44b57,"2016-08-04 05:00:07",635118688,,UAC_Search,,
4eb794fb-9bae-40ec-8d56-f0e611722588,"2016-08-04 05:02:03",635118688,,UAC_Youtube,,
6595d1fa-84ef-4a27-bac7-c50c44769cce,"2016-08-04 05:06:09","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
b3c5d86f-c464-4f33-bd94-1dcbb5d43839,"2016-08-04 05:16:09","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
d23d9c7f-dc75-4c9c-806e-754edc7adbdc,"2016-08-04 05:18:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends eggs"
5a9ab80f-718c-44ec-b332-da36a50dda2c,"2016-08-04 05:25:09",635118688,,UAC_Search,,
660f86ef-036a-4705-83b6-42f2b5d5e629,"2016-08-04 05:34:08",635118688,,UAC_Search,,
1a17f775-759e-44d0-baac-7385bc9fd8a4,"2016-08-04 05:35:08",635118688,,UAC_Search,,
7cc9d41d-d63b-434b-8a3a-51dcbc6af90d,"2016-08-04 05:43:07",635118688,,UAC_Search,,
06153c68-5c59-407b-883f-06820856b0b3,"2016-08-04 05:44:07",635118688,,UAC_Search,,
e4d72712-25d9-40c6-98ba-2be54ad72706,"2016-08-04 05:47:08",635118688,,UAC_Search,,
674f0531-ba36-43cf-aab1-4791c0d2f819,"2016-08-04 05:48:10",635118688,,UAC_Search,,
