"Sub Publisher",Attributions
11586,1
115887,1
116128,1
116202,1
116214,39
116233,18
116239,7
11633,7
116338,1
116386,1738
116389,8
116406,7
11645,1
116514,1
11656,6
116612,7
116636,1
116667,5
116702,1
116745,8
116813,1
116859,1
11704,3
117063,1
117093,1
117157,2
117190,3
117289,1
117307,1
117323,12
117389,1
117420,1
117430,4
117518,1
117556,3
11765,6
117709,3
11798,1
117994,79
118104,10
118108,2
118121,1
118159,1
118176,1
118184,1
11828,33
11831,2
11834,213
11845,26
11856,1
118561,1
118604,1
11861,11
118718,1
118749,1
118830,1
118836,1
118913,1
118937,9
118938,3
118965,1
119052,1
119065,1
119066,1
119106,1
119163,1
119169,1
119230,4
119306,44
11938,2
11939,28
119406,1
119620,2
119748,1
119916,3
119918,1
119982,2
119991,1
11b1f33d04d7f0f11029cacbecb5be86,1
120,1
120001,1
120054,2
120149,1
12017,2
12021,1
120234,1
120247,13
120531,3
121159,1
121318,1
12180,5
12196,1
12204,1
1226,1
12302,2
12304,3
12349,157
12355,2
123640,1
12393,36
12467,2
125,1
12515,5
12553,3
12618,13
12647,9
12654,3
12658,99
12688,1
127,1
12723,58
12728,6
12832,46
12faea348260b44acd5bd0bda005d0f5,1
13050,11
13077,2
13104,1
131621828,14
131621830,1
131621831,1
131621835,2
131621836,122
131621898,2
131622008,1
131622063,7
131622066,25
131622168,1
131622171,2
131622348,1
131622424,8
131622425,1
131622426,6
131622577,1
131622939,15
131623026,1
131623046,2
131623065,2
131623075,2240
131623161,1
131623206,25
131623314,64
131623336,18
131623395,2
131623429,1
131623437,1
131623507,1
131623529,4
131623642,1
131623706,65
131623855,1
131623861,4
131623862,7
131623871,5
131623918,6
131624239,1
131624383,22
131624384,42
131624420,1
131624428,1
131624435,2
131624508,1
131624510,118
131624550,31
131624552,4
131624568,4
131624585,1
131624712,30
131624713,51
131624733,1
131624768,3
131624853,2
131624885,1
131624915,1
131624935,1
131624959,3
131624964,60
131625169,8
131625196,4
131625213,7
131625255,9
131625505,2
131625538,6
131625589,1
131625613,4
131625618,1
131625664,1
131625827,5
131625828,7
131625829,12
131625831,70
131625844,1
131625883,1
131625936,4
131625951,29
131625989,2
131626149,3
131626217,59
131626228,1
131626233,107
131626270,1
131626346,296
131626348,5014
131626496,21
131626508,5
131626518,1
131626677,1
131626693,3
131626765,7
131626779,1
131626815,29
131626833,1
131627010,4
131627087,7
131627111,1
131627213,4
131627268,1
131627313,1
1320,1
13203,127
13284,2
1337,2
13406,2
13442,11
1370,1
1373,1
1374,1
13760,7
13850,133
1392,1
13939,1
13983,1
14014,2
14023,3
14024,1
14032,3
14121,86
14194,2
14199,53
14328,1
14340,124
14442,1025
14448,30
14458,4
14550,42
14569,21
14592,1
14654,12
14699,1
14785,2
14820,1
14880,1
14901,18
14917,13
14962,1
14990,2
14993,2
14996,8
1507,1
15103,3
1512,1
15120,21
15163,53
15189,9
15268,5
1534,2
15351,32
15352,35
15358,3
15376,129
15539,3
15553,8
15619,12
15622,4
