Game,"Camp ID",Publisher,Country,OS,"Conversions (total for  last 7 days)"
"Dragon Mania Legends",4886,Applike,Austria,Android,90
"Dragon Mania Legends",4888,Vungle,"DE - AT - CH",iOS,274
"Dragon Mania Legends",4938,Adcolony,"Hong Kong",Android,158
"Dragon Mania Legends",4940,Applifier,"Hong Kong",iOS,26
"Dragon Mania Legends",4942,Applifier,"Hong Kong",Android,625
"Dragon Mania Legends",4944,Vungle,"Hong Kong",iOS,265
"Dragon Mania Legends",4946,Vungle,"Hong Kong",Android,254
"Dragon Mania Legends",4948,Bee7,"Hong Kong",iOS,23
"Dragon Mania Legends",4950,Bee7,"Hong Kong",Android,38
"Dragon Mania Legends",4956,Applifier,Taiwan,iOS,394
"Dragon Mania Legends",4958,Applifier,Taiwan,Android,1286
"Dragon Mania Legends",4960,Vungle,Taiwan,iOS,305
"Dragon Mania Legends",4962,Vungle,Taiwan,Android,827
"Dragon Mania Legends",4964,Bee7,Taiwan,iOS,13
"Dragon Mania Legends",4966,Bee7,Taiwan,Android,180
"Dragon Mania Legends",4968,Applike,"United Kingdom",Android,916
"Dragon Mania Legends",4974,Cpmstar,"Germany - Austria - Switzerland",iOS,0
"Dragon Mania Legends",4976,Cpmstar,"Germany - Austria - Switzerland",Android,17
"Disney Kingdom",4980,Applovin,"United States",iOS,7550
"Disney Kingdom",5012,Chartboost,"United Kingdom - Ireland",iOS,4
"Dragon Mania Legends",5028,Zorkamobi,Russia,iOS,423
"Dragon Mania Legends",5030,Tapjoy,Taiwan,iOS,0
"Dragon Mania Legends",5032,Tapjoy,Taiwan,Android,5
"Dragon Mania Legends",5044,Chartboost,Taiwan,iOS,13
"Dragon Mania Legends",5046,Chartboost,Taiwan,Android,33
"Dragon Mania Legends",5088,Tapjoy,"Hong Kong",iOS,0
"Dragon Mania Legends",5090,Tapjoy,"Hong Kong",Android,0
