,"5"
"22598","4"
"22600","1"
"22911","3"
"22912","4"
"2299993c91685ed46b7dfd91e91e2956a7b2080b","2"
"22ef5b1b7da8eeed1187d1f7a203d96db4224f19a9e00d4b1ab1a90038a0a3d9ab41d4e650e55b4df195a1ff7414cd117b631bac502d5eee64a6fa3a11f60722906affa60c61d044991d57ed7a71cd9cb4f042f99553998392fee846b07db3e2","1"
"23143","1"
"23148","1"
"23183","2"
"23217","1"
"23243","1"
"2327\",\"ip\":\"64.72.37.3\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"57038\",\"phid\":\"ca423cd04548c3f80d55be1680aa1592\",\"waid\":\"7caa0dab43b85ec2ac2557956ba3889c\",\"gos\":\"windows8\",\"gcampaign_id\":\"3760\",\"gproduct_id\":\"2566","1"
"23326","2"
"23374","1"
"23500","18"
"23586","1"
"23679","1"
"24228","1"
"24446","3"
"24594","10"
"24778","1"
"25188","16"
"25380","1"
"25652","4"
"25743","4"
"25777","2"
"26052","1"
"26113","1"
"26169","2"
"26279","3"
"26686","35"
"27027","2"
"27031","18"
"27037","1"
"27051","2"
"27058","1"
"27105","1"
"27323","2"
"28023","5"
"28187","1"
"28282","24"
"28283","6"
"28309","1"
"28486","1"
"28487","38"
"28490","5"
"28491","33"
"28494","10"
"28545bd745686e69ee1ebfda294119045817af50","1"
"28566","29"
"28964","1"
"29164","1"
"29202","19"
"29205","6"
"29785","7"
"30005","1"
"30183","28"
"30184","69"
"30193","8"
"30598","7"
"30f88494aa29da10ef62887009824fa6e85f5447","1"
"31227","1"
"31451","3"
"31474","1"
"31475","1"
"31603","5"
"31895","39"
"31938","3"
"31d61a09487b9447fd6970bbc7c97a6fcc26d98c","1"
"32022","2"
"32050","1"
"32347","2"
"32348","4"
"32350","1"
"32361","13"
"32541","1"
"32684","21"
"32862","1"
"32880","1"
"33355","10"
"33364","1"
"33480","2"
"33623","4"
"33666","1"
"3395339f8cbf2b91792d3bd5a38c1d52175f3962","1"
"34186","2"
"34817","2"
"35016","5"
"35022","5"
"35477","3"
"35584","10"
"35803","9"
"35877","3"
"36614","21"
"36827","1"
"36828","10"
"36829","19"
"37070","2"
"37115","1"
"37134","8"
"37584","17"
"37941","1"
"38049","1"
"38186","3"
"38302","1"
"38365","1"
"38399","5"
"38654","7"
"39061","2"
"39225","1"
"39555","1"
"39626","44"
"39674","3"
"39930","1"
"39950","1"
"39996","1"
"40231","1"
"40435","12"
"40530","13"
"41154","2"
"41199","1"
"41408","1"
"41565","14"
"41583","1"
"41710","1"
"41765","2"
"41827","4"
"41862","1"
"41901","1"
"42051","1"
"42154","1"
"42993","71"
"43019","1"
"432160a1243e83c6f90048eb7e00398377251541484e5b3d396716e4c4d1b4b66985af5538aaaa61adce306f121f94a93d87900a4bedad4427095814e92c3ab15a97eef02dde9feeb6c006971141f0b739e79b406047d3a886294d44984787ec","1"
"43415","36"
"43490","27"
"43747","1"
"43766","1"
"44575","2"
"44836","1"
"44954","1"
"45390","1"
"45408","2"
"46408","1"
"47\",\"sub_publisher2\":\"b8bea256-f9ef-11e5-ae9e-114013c42315\",\"creative\":\"","1"
"47370","4"
"47372","26"
"47646","1"
"47899","1"
"48151","1"
"48152","4"
"48154","1"
"48155","1"
"48194","10"
"48277","1"
"48470","2"
"48677","1"
"48689","1"
"49\",\"sub_publisher2\":\"48205984\",\"creative\":\"","1"
"49006","1"
"49085","2"
"49096","8"
"49424","1"
"49853","2"
"50042","1"
"50046b006","1"
"50259","2"
"50272","4"
"50313","1"
"50406","2"
"50675","29"
"50677","1"
"50904","3"
"50f5ddd21","1"
"51039","48"
"51050","4"
"51078","5"
"51369","6"
"51737","1"
"51764","3"
"522608201","1"
"52334","1"
"52421","1"
"52505","21"
"52539","4"
"52586","2"
"52598","1"
"53983","1"
"54602","29"
"54627","7"
"54663","2"
"54691","1"
"54789","1"
"54814","1"
"54950","1"
"54990","1"
"54d6c432355699a8b9adb301d9dbf035ba62b3d0","1"
"55238","6"
"5552167b1","1"
"55651","1"
"55732","3"
"55847","15"
"55848","1"
"55dc1da00","1"
"56310","2"
"5631c2ccc","1"
"56474","5"
"564eb851b","1"
"56558","1"
"56647","2"
"56685","1"
"56769","1"
"56873","47"
"56a2467db","1"
"56b0a4581","1"
"56d5e7721","1"
"57104","11"
"57122","27"
"57180","1"
"57854","1"
"57937","8"
"57987","1"
"57999","6"
"58029","1"
"58320","1"
"58805","1"
"5a201ee6cf45fae62097c13e2110badbcc517551","1"
"5da9ad66f49f8714e38a83b765ffaf4c036aa54d","1"
"60186","1"
"60301","1"
"60318","10"
"60780","2"
"61143","1"
"61473","23"
"61793","1"
"61816","1"
"61891","1"
"62378","1"
"62814","1"
"63019","4"
"63248","1"
"63255","4"
"63317","1"
"63367","67"
"63379","1"
"63417","9"
"63563","1"
"63935","10"
"64004","1"
"64137","9"
"64261","1"
"64645","1"
"64934","1"
"65355","12"
"65356","9"
"65470","1"
"65480","1"
"65840","1"
"66137","16"
"66164","1"
"66226","1"
"66674","4"
"67922","28"
"67962","1"
"68546","5"
"685d66ab56c8c1b5193ff51b48bc50eb08483a0d","1"
"68697","3"
"69347","1"
"69633","1"
"69984","1"
"70063","1"
"70203","1"
"70537","1"
"70913","1"
"70923","1"
"71430","57"
"71865","2"
"71929","54"
"72062","2"
"72136","3"
"72177","1"
"72345","1"
"72401f6d3b1f730b12c7f948b2225449e3c78f1a","1"
"72456","550"
"72814","1"
"72919","1"
"73070","1"
"73419","1"
"73473","1"
"73502","5"
"73524","2"
"736740d52eafbe59ee76a90615f68579d7475881","1"
"74076","1"
"74218","5"
"74539","1"
"74692","1"
"74701","1"
"75764","3"
"75981","1"
"76223","4"
"76657","1"
"77098","6"
"77206","2"
"77826","1"
"77843","20"
"78092","1"
"78213","16"
"78354","1"
"78595","1"
"78962","2"
"79448","2"
"79450","1"
"79478","1"
"79693","1"
"79778","1"
"79819","1"
"7beabefe3e2cb40e986e174ec63804c5ebe08ab9","1"
"80031","1"
"80607","1"
"80660","1"
"80866","1"
"81023","1"
"81688","1"
"81919","1"
"81982","12"
"82066","1"
"82099","1"
"82132","2"
"82201","6"
"822549a8d409ade60ea97a958002803af322bc4f","1"
"82290","1"
"82531","1"
"82678","3"
"83025","1"
"83125","1"
"83137","1"
"83569","1"
"83572","1"
"83619","160"
"83779","6"
"84147","1"
"84261","58"
"84270","2"
"84317","2"
"84336","3"
"84611","3"
"84632","2"
"84909","2"
"85091","1"
"85343","1"
"85442","2"
"85610","1"
"85645","1"
"86030","1"
"86139","1"
"86210","17"
"86474","14"
"86662","1"
"87275","1"
"88647","2"
"88687","1"
"89489","3"
"89522","11"
"89544","1"
"89965","1"
"90168","1"
"90399","1"
"90592","1"
"91072","1"
"91586","7"
"91798","1"
"91810","2"
"91843","1"
"92000","5"
"920435e4c9fca13e385c7564e2cbb60fa75fdb4cac5548646f1438022bf0e882389ffc1a7b50bcb785bfe3e10ddb7d278266e167a0216ec9d9cc33db67714edbc5eb85ccea2c4963bfe6d31a8544136bd6c3150ff95c8b2bc3192a41d82692fa","1"
"92535","1"
"92735","1"
"92737","1"
"93225","1"
"93234","2"
"93254","15"
"93368","2"
"93445","1"
"93692","1"
"93803","3"
"93825","2"
"93927","24"
"94028","2"
"94084","1"
"94123","3"
"943208e29dd203fb42c3704ab3ce7e5a0e108b02","1"
"94338","1"
"94624","1"
"94812","1"
"95421","1"
"95489","4"
"95776","3"
"95920","1"
"95a35b909d626694aaf337535f0893140e8e75ea","1"
"96003","11"
"96243","2"
"96316","1"
"96754","2"
"96941","139"
"97066","1"
"97145","2"
"97167","3"
"97364","1"
"97375","1"
"97559","44"
"97560","9"
"97581","6"
"98100","3"
"98256","1"
"98265","4"
"98429","3"
"98475","22"
"98721","15"
"98724","1"
"98740","3"
"98797","1"
"99071","2"
"99171","15"
"99557","2"
"99583","4"
"9d7a35c0c745e26f8082a313e4b1e7025d46a537","1"
"a38a6ec05b452e30ac6adff130293f659abb596d9774dc226ae95db10acc946d6ebd79b87c299f5f9055c7ec72b0c4aae333378d2103de119492296f030f380cd8a1ef0a9343033d663034544e367177fd6e8d8c4c3d8fc80462723cace61f06","1"
"b01f44c508269663cabaadd03fc4d8ba2749ef13","1"
"b3971052728c3ac64b860e207ed24ddb0e5b2876","1"
"bcfbfb1172bb677dc03f95b926c28bb48bbd640f","1"
"c297a20a887c8bdad7c37e8a3a5653e96028ee03","1"
"c4cf13b54565403bc1fcbcafb3fca843d11606bd","1"
"c78685604f9107f0990b397a4cc68062894f8cff","1"
"d4d04031dfcb0e378669970bd8730c853b1783b3","1"
"e11f45caa7b9bf1897a983d8e9df0fb96944b5a8","1"
"f251b81657b89f4efd5f681ac0e5943b3afb51c5","1"
"f516e125a79365afcc158c7e3caf60df19efaee0","1"
"fb340a48b4fce2f7f03bc36778756b148cc8e0fd","1"
"toutiao\",\"country_code\":\"0086\",\"callback\":\"","5"
"toutiao\",\"country_code\":\"0086\",\"callback\":\"{callback_param}","8"
